timestamp,cow_part,ambient_temp,humidity,mean_temp,max_temp,frame_std,sample_folder
2025-12-30_15-06-00,etc,17.6,83.2,24.34,26.05,3.2,etc_1
2025-12-30_15-23-16,etc,17.0,82.9,23.66,26.15,3.02,etc_10
2025-12-30_15-23-30,etc,16.9,83.7,22.76,26.13,2.82,etc_11
2025-12-30_15-23-43,etc,16.8,84.2,22.34,24.84,2.81,etc_12
2025-12-30_15-23-55,etc,16.8,84.2,22.14,25.42,2.9,etc_13
2025-12-30_15-24-06,etc,16.9,84.4,22.31,25.4,2.87,etc_14
2025-12-30_15-24-19,etc,16.9,84.4,22.58,25.34,2.92,etc_15
2025-12-30_15-28-05,etc,17.3,85.4,22.05,25.17,2.74,etc_16
2025-12-30_15-28-17,etc,17.4,83.8,22.09,25.37,2.73,etc_17
2025-12-30_15-28-29,etc,17.5,83.8,21.96,24.97,2.61,etc_18
2025-12-30_15-28-49,etc,17.6,83.4,23.53,26.51,3.15,etc_19
2025-12-30_15-10-47,etc,17.7,81.0,23.19,25.39,3.03,etc_2
2025-12-30_15-29-03,etc,17.6,83.4,22.38,25.5,2.72,etc_20
2025-12-30_15-29-18,etc,17.8,81.6,22.57,25.75,2.93,etc_21
2025-12-30_15-29-50,etc,17.9,81.3,24.01,26.67,3.09,etc_22
2025-12-30_15-30-03,etc,17.8,81.4,24.65,26.31,2.99,etc_23
2025-12-30_15-30-15,etc,17.8,81.4,23.92,25.5,3.0,etc_24
2025-12-30_15-30-29,etc,17.8,81.8,23.96,25.6,3.02,etc_25
2025-12-30_15-31-33,etc,18.0,79.4,22.93,25.89,2.89,etc_26
2025-12-30_15-31-50,etc,17.9,80.4,22.74,25.79,2.91,etc_27
2025-12-30_15-11-01,etc,17.7,81.0,23.44,25.74,3.14,etc_3
2025-12-30_15-11-21,etc,17.8,83.3,23.82,26.69,3.26,etc_4
2025-12-30_15-11-41,etc,17.9,82.3,23.13,26.44,2.98,etc_5
2025-12-30_15-21-01,etc,17.8,84.0,25.04,26.89,1.8,etc_6
2025-12-30_15-22-40,etc,17.3,84.7,24.36,26.5,3.18,etc_7
2025-12-30_15-22-52,etc,17.3,84.7,24.35,27.27,3.21,etc_8
2025-12-30_15-23-04,etc,17.1,82.9,23.22,26.42,2.87,etc_9
2025-12-30_14-56-46,eye,17.1,83.9,24.01,26.13,2.59,eye_1
2025-12-30_15-00-48,eye,17.1,82.1,21.99,25.37,2.41,eye_10
2025-12-30_15-01-08,eye,17.1,82.8,21.37,23.56,2.15,eye_11
2025-12-30_15-01-30,eye,17.1,83.2,19.68,20.54,1.23,eye_12
2025-12-30_15-01-52,eye,17.0,82.9,22.18,25.61,2.52,eye_13
2025-12-30_15-02-08,eye,17.1,83.0,24.14,28.35,3.82,eye_14
2025-12-30_15-02-25,eye,17.1,83.1,25.12,29.06,3.91,eye_15
2025-12-30_15-02-47,eye,17.2,83.6,24.18,26.97,3.01,eye_16
2025-12-30_15-25-28,eye,17.0,82.4,21.06,25.85,2.48,eye_18
2025-12-30_15-25-38,eye,17.0,82.9,21.92,26.98,3.14,eye_19
2025-12-30_14-58-28,eye,17.6,84.8,25.39,28.15,2.98,eye_2
2025-12-30_15-25-50,eye,17.0,83.0,21.84,27.17,3.03,eye_20
2025-12-30_15-26-02,eye,17.0,84.1,21.98,25.0,2.62,eye_21
2025-12-30_15-26-14,eye,17.0,84.1,24.08,27.6,3.6,eye_22
2025-12-30_15-26-30,eye,16.9,83.5,23.55,27.16,3.42,eye_23
2025-12-30_15-26-41,eye,17.0,83.9,23.09,26.19,3.12,eye_24
2025-12-30_15-26-56,eye,17.0,83.9,21.78,25.86,2.54,eye_25
2025-12-30_15-27-54,eye,17.3,83.1,20.64,22.17,1.71,eye_26
2025-12-30_14-58-46,eye,17.6,84.0,23.03,26.5,2.26,eye_3
2025-12-30_14-59-07,eye,17.6,82.8,21.59,24.09,1.62,eye_4
2025-12-30_14-59-27,eye,17.5,81.4,22.93,24.38,2.4,eye_5
2025-12-30_14-59-40,eye,17.5,81.4,24.3,27.8,3.18,eye_6
2025-12-30_14-59-57,eye,17.3,82.0,21.37,24.17,1.92,eye_7
2025-12-30_15-00-13,eye,17.3,82.8,21.56,24.2,1.69,eye_8
2025-12-30_15-00-30,eye,17.3,83.0,23.15,25.75,2.35,eye_9
2025-12-30_14-57-15,hoof,17.3,83.7,18.28,19.87,0.88,hoof_1
2025-12-30_15-07-28,hoof,17.5,83.6,24.28,26.84,3.09,hoof_10
2025-12-30_15-08-05,hoof,17.6,83.7,23.86,28.46,3.45,hoof_11
2025-12-30_15-08-22,hoof,17.6,83.7,24.44,26.09,3.53,hoof_12
2025-12-30_15-08-49,hoof,17.7,83.5,23.82,28.84,3.42,hoof_13
2025-12-30_15-09-02,hoof,17.7,83.4,22.91,28.0,3.16,hoof_14
2025-12-30_15-09-14,hoof,17.7,83.4,22.27,27.25,2.84,hoof_15
2025-12-30_15-09-32,hoof,17.6,82.3,21.99,24.76,2.4,hoof_16
2025-12-30_15-04-58,hoof,17.7,84.4,24.08,26.22,3.33,hoof_2
2025-12-30_15-05-11,hoof,17.7,82.1,23.8,26.9,3.47,hoof_3
2025-12-30_15-05-23,hoof,17.7,82.1,22.78,25.6,2.83,hoof_4
2025-12-30_15-05-40,hoof,17.6,84.4,23.09,25.47,2.82,hoof_5
2025-12-30_15-06-13,hoof,17.6,81.6,24.85,25.81,3.48,hoof_6
2025-12-30_15-06-27,hoof,17.6,82.1,24.4,25.88,3.33,hoof_7
2025-12-30_15-06-41,hoof,17.5,81.2,24.24,25.9,3.22,hoof_8
2025-12-30_15-07-15,hoof,17.5,83.2,25.65,28.78,3.75,hoof_9
2025-12-30_14-57-56,leg,17.4,84.2,23.86,25.26,2.71,leg_1
2025-12-30_15-14-08,leg,17.6,81.4,25.22,26.21,2.94,leg_10
2025-12-30_15-14-22,leg,17.6,83.3,26.51,28.09,3.86,leg_11
2025-12-30_15-14-34,leg,17.6,83.3,26.03,27.72,3.53,leg_12
2025-12-30_15-14-46,leg,17.5,83.5,25.63,27.12,3.34,leg_13
2025-12-30_15-14-59,leg,17.5,83.5,25.06,27.23,3.61,leg_14
